Title,BioProject_uid,BioProject,SRA_Code,Pubmed_ID,PMC_ID,SRA_Count,SRA_Id_list,Is_in_Genbank
Investigating the origins of eastern Polynesians using genome-wide data from the Leeward Society Isles,434987,PRJEB22729,,29379068,PMC5789021,16,"5022407,5022413,5022408,5022414,5022411,5022405,5022412,5022399,5022410,5022402,5022401,5022400,5022409,5022406,5022403,5022404",True
Ancient DNA at the edge of the world: Continental immigration and the persistence of Neolithic lineages in Bronze Age Orkney,796888,PRJEB46830,,35131896,PMC8872714,95,"20782713,19015617,19146678,20643500,20643502,19015619,20643507,19015623,20643503,19015613,19146662,19015607,19146687,20643494,20643498,19146683,19146661,19146679,20643506,19146667,19146674,19146690,19146694,19107027,20782715,19107019,19146686,19146656,19146657,19146689,19146668,19146654,20643495,20643501,19146659,19146691,19107020,19015620,19146658,19107021,19015622,20643497,20643505,19015615,19015609,20782717,19015626,19015604,20643499,19146664,19146681,19107025,19146680,19015608,19015616,19015614,19107024,19146665,20782714,20784016,19146682,19015625,19146670,19146685,19146671,19015618,19015612,19107022,19146676,19146660,19146655,19015603,19146669,19107026,19015610,19015621,20643504,19015624,20643496,19146693,19146663,19146666,19015606,19146672,20782716,19146677,20643508,19146673,19015611,19146688,19015605,19146675,19107023,19146692,19146684",True
Cultural variation impacts paternal and maternal genetic lineages of the Hmong-Mien and Sino-Tibetan groups from Thailand,657775,PRJEB36639,,32690935,PMC7576213,649,"11660837,11660897,11660992,11660908,11661095,11660671,11660528,11661067,11660819,11660527,11660611,11660795,11661024,11661097,11660933,11660509,11660859,11660953,11660946,11660786,11660739,11660824,11661038,11660912,11661110,11660804,11660495,11661013,11661020,11660642,11660586,11660951,11660719,11660652,11660547,11660790,11660698,11660578,11660582,11660506,11660675,11661091,11660504,11660518,11660721,11660725,11660697,11661007,11660592,11661122,11660645,11660998,11660717,11660984,11661012,11660854,11660745,11660664,11660545,11661051,11660608,11660935,11660758,11660640,11660917,11660557,11660805,11660753,11660752,11660899,11661136,11660867,11660531,11661070,11660643,11660784,11660766,11661050,11660710,11660695,11660646,11660902,11661054,11661005,11660742,11660835,11660691,11660922,11660624,11660995,11660638,11660593,11660516,11660651,11660954,11660760,11661101,11660712,11660965,11660515,11660864,11661017,11661135,11660888,11661099,11660855,11660702,11660639,11660850,11660686,11660749,11660505,11660673,11660674,11661071,11660896,11661057,11660823,11660581,11660525,11661083,11660559,11660810,11661045,11660838,11660510,11660690,11660614,11661137,11660634,11661098,11661009,11660849,11660708,11660519,11660736,11660892,11660496,11660606,11660913,11660635,11660788,11660522,11660962,11660596,11660845,11660797,11660663,11660930,11660563,11661003,11660957,11660767,11660750,11660976,11660800,11660588,11660513,11661033,11660535,11660617,11660887,11660936,11660597,11660994,11661089,11660881,11660733,11661022,11660573,11660931,11661128,11661085,11660802,11660808,11661078,11660904,11660511,11660977,11660668,11660706,11661069,11661087,11660878,11660856,11661000,11661129,11660526,11661106,11661006,11661042,11660940,11660860,11660735,11661131,11660647,11660517,11661115,11660958,11660551,11660825,11660584,11660549,11660919,11660761,11661109,11660794,11660778,11661068,11661044,11660792,11660561,11660960,11660694,11660572,11660875,11660589,11660834,11660751,11660840,11660636,11660683,11660843,11660630,11660777,11660755,11660982,11660939,11660718,11660565,11660599,11660724,11660787,11660942,11661124,11660731,11661133,11660737,11660530,11660684,11660491,11660852,11660941,11660822,11660882,11661138,11660699,11660538,11660537,11661034,11660595,11661011,11660713,11660781,11660883,11660833,11660943,11661047,11660666,11660502,11660607,11660621,11660728,11660874,11661116,11660964,11660670,11660928,11660494,11660813,11661055,11660709,11661065,11660644,11660618,11660775,11661036,11660616,11660862,11660566,11661117,11660865,11660945,11660809,11660587,11660927,11661113,11660894,11660990,11660873,11660497,11661103,11661125,11660938,11660757,11660613,11660564,11660836,11660677,11660949,11661086,11661100,11660682,11660991,11660746,11660993,11660539,11660967,11660978,11660973,11660507,11661064,11660844,11660969,11660605,11661053,11660662,11660570,11660612,11660627,11660659,11661132,11660952,11660575,11660884,11660785,11660641,11660891,11660996,11661073,11661084,11660877,11660665,11660553,11660585,11660514,11660905,11660974,11660986,11660959,11660723,11661111,11660871,11660765,11660629,11660921,11660779,11660601,11660529,11660524,11660893,11660501,11660910,11660841,11661039,11660754,11660714,11660688,11660985,11660542,11660555,11661079,11660812,11660508,11661077,11661063,11660623,11660831,11660885,11660556,11660961,11660971,11661114,11660610,11660574,11660653,11660544,11660576,11660858,11660533,11661076,11660914,11660900,11660870,11661126,11660583,11660876,11660821,11660924,11660521,11660498,11660763,11660842,11661072,11660492,11660815,11660789,11660934,11660540,11660633,11661025,11661032,11660970,11660782,11661040,11660828,11660571,11660577,11660700,11660650,11660814,11660963,11660966,11661041,11660989,11661060,11660541,11660512,11660801,11660886,11660569,11660732,11660759,11660558,11660769,11660770,11660756,11660880,11660622,11660672,11661019,11661021,11661010,11660979,11660839,11660523,11660741,11660806,11660743,11660661,11660923,11660866,11661001,11661108,11661027,11660738,11660872,11660863,11660568,11660907,11660820,11660748,11660726,11660667,11660680,11660669,11660604,11661096,11660895,11660560,11660685,11660729,11660543,11661088,11661002,11661094,11660915,11660637,11661031,11660947,11660562,11660703,11660600,11660830,11661046,11660548,11660681,11660499,11660679,11660774,11660890,11660829,11660546,11660696,11660906,11661082,11660687,11660920,11661121,11660861,11660975,11660619,11660554,11661105,11661127,11660532,11660776,11661048,11660909,11660771,11661061,11660869,11661134,11660791,11661118,11660632,11660649,11660981,11660950,11660868,11660932,11661052,11660889,11660711,11660929,11660773,11661030,11660851,11660983,11660678,11660628,11660594,11660648,11661104,11660799,11660803,11660552,11660798,11660818,11660903,11660609,11660707,11660716,11660827,11660847,11660997,11660857,11661130,11660603,11660762,11661037,11660689,11660579,11661026,11661090,11660980,11661119,11660655,11661123,11661093,11660783,11660879,11660747,11660693,11660625,11660590,11660567,11660916,11660768,11660937,11660987,11660925,11660493,11660846,11660972,11661008,11660807,11660911,11661035,11660598,11660918,11661139,11660500,11660780,11661059,11661092,11660955,11661062,11661056,11660848,11660602,11661112,11660968,11660817,11661043,11661058,11660715,11661107,11660657,11660550,11660796,11660948,11660615,11660816,11660620,11661029,11660676,11660988,11660722,11660720,11660626,11660503,11661081,11661023,11660853,11660811,11660744,11660727,11660658,11660740,11660591,11660734,11660705,11660520,11661016,11661074,11660631,11660926,11660898,11660656,11660660,11661028,11661014,11660730,11661080,11660901,11661018,11660956,11660704,11661066,11660999,11660826,11660580,11661075,11660701,11661015,11661004,11660764,11660944,11660772,11661102,11660692,11661120,11661049,11660534,11660536,11660832,11660654,11660793",True
A draft human pangenome reference,850430,PRJNA850430,,37165242,PMC10172123,0,,True
Human paternal and maternal demographic histories: insights from high-resolution Y chromosome and mtDNA sequences,232759,PRJEB4417,,25254093,PMC4174254,623,"578096,578673,578164,578634,578544,578512,578125,578413,578104,578137,578422,578539,578567,578347,578194,578451,578235,578230,578106,578356,578349,578354,578406,578316,578464,578391,578248,578252,578437,578207,578414,578375,578623,578264,578522,578225,578361,578182,578637,578335,578165,578395,578496,578549,578598,578276,578602,578568,578442,578545,578649,578177,578341,578669,578358,578518,578479,578367,578667,578603,578070,578597,578195,578231,578360,578285,578088,578135,578447,578254,578547,578627,578156,578583,578580,578245,578481,578440,578308,578185,578069,578600,578576,578084,578278,578372,578492,578268,578292,578574,578117,578152,578578,578383,578346,578326,578459,578243,578155,578275,578626,578611,578418,578397,578542,578122,578216,578502,578389,578214,578369,578640,578338,578639,578381,578537,578400,578058,578314,578403,578441,578541,578404,578145,578405,578674,578399,578093,578297,578388,578370,578107,578462,578102,578060,578052,578535,578557,578054,578192,578671,578357,578149,578217,578434,578321,578221,578519,578062,578448,578272,578236,578427,578573,578059,578614,578436,578642,578521,578282,578266,578204,578083,578100,578172,578167,578433,578157,578201,578198,578178,578086,578328,578063,578124,578645,578636,578419,578277,578473,578587,578362,578118,578097,578416,578247,578562,578662,578146,578543,578289,578202,578579,578428,578296,578066,578151,578355,578056,578098,578140,578288,578224,578443,578411,578500,578581,578657,578128,578319,578229,578317,578498,578461,578126,578330,578526,578528,578132,578619,578222,578262,578410,578279,578476,578261,578569,578460,578393,578233,578138,578483,578158,578325,578246,578082,578188,578586,578153,578242,578469,578345,578465,578620,578564,578134,578203,578553,578604,578227,578652,578220,578482,578625,578382,578379,578161,578392,578067,578065,578510,578313,578190,578115,578666,578503,578074,578471,578129,578162,578171,578558,578609,578311,578359,578280,578123,578446,578511,578589,578108,578174,578453,578594,578435,578238,578565,578179,578374,578656,578572,578617,578199,578475,578160,578302,578653,578257,578173,578196,578401,578271,578501,578618,578421,578654,578120,578550,578312,578284,578566,578486,578394,578635,578130,578596,578514,578445,578298,578555,578534,578170,578613,578209,578474,578274,578630,578487,578053,578092,578076,578531,578632,578350,578168,578211,578417,578499,578255,578099,578651,578593,578612,578468,578136,578599,578529,578269,578139,578560,578253,578663,578423,578131,578647,578472,578368,578240,578228,578327,578504,578546,578508,578582,578571,578309,578373,578219,578144,578301,578365,578665,578087,578507,578466,578490,578661,578091,578232,578648,578533,578606,578293,578267,578624,578303,578299,578183,578110,578628,578143,578525,578540,578621,578166,578332,578629,578506,578310,578148,578366,578484,578218,578127,578072,578169,578415,578154,578259,578085,578237,578239,578205,578105,578163,578407,578480,578601,578055,578176,578554,578241,578208,578343,578390,578517,578103,578305,578452,578429,578295,578605,578363,578664,578641,578425,578184,578488,578497,578294,578485,578402,578113,578638,578181,578111,578387,578489,578142,578378,578536,578643,578520,578385,578265,578494,578430,578590,578223,578258,578193,578527,578513,578588,578089,578491,578454,578077,578078,578213,578556,578068,578081,578200,578530,578371,578672,578064,578457,578659,578342,578323,578458,578538,578585,578256,578061,578189,578386,578333,578449,578477,578608,578251,578249,578622,578493,578424,578306,578281,578090,578291,578234,578505,578616,578455,578331,578304,578444,578439,578631,578337,578206,578670,578377,578396,578644,578287,578226,578478,578114,578180,578187,578420,578057,578376,578320,578633,578344,578408,578426,578509,578121,578300,578352,578470,578307,578646,578515,578552,578551,578095,578615,578244,578456,578607,578250,578197,578119,578260,578563,578315,578523,578610,578101,578263,578334,578595,578133,578548,578438,578412,578340,578324,578212,578150,578559,578273,578450,578109,578094,578532,578658,578147,578432,578336,578364,578409,578215,578339,578210,578270,578650,578380,578175,578668,578655,578351,578561,578495,578322,578318,578075,578283,578592,578575,578290,578191,578071,578570,578591,578186,578384,578329,578159,578431,578141,578286,578116,578112,578398,578524,578348,578353,578577,578467,578080,578660,578079,578073,578584,578463,578516",True
"Ancient mitogenomes of Phoenicians from Sardinia and Lebanon: A story of settlement, integration, and female mobility",416844,PRJNA416844,SRP123440,29320542,PMC5761892,15,"4685353,4685339,4685347,4685342,4685352,4685349,4685346,4685350,4685348,4685340,4685351,4685344,4685341,4685345,4685343",True
The Genetic Prehistory of the Baltic Sea Region,421333,PRJNA421333,SAMN08139261-SAMN08139301,29382937,PMC5789860,80,"4809735,4809752,4809748,4809744,4809688,4809703,4809732,4809709,4809717,4809750,4809753,4809682,4809693,4809743,4809724,4809699,4809719,4809741,4809687,4809711,4809721,4809712,4809694,4809725,4809678,4809701,4809706,4809707,4809698,4809695,4809756,4809737,4809738,4809690,4809686,4809702,4809681,4809726,4809754,4809757,4809679,4809723,4809722,4809680,4809749,4809718,4809727,4809692,4809715,4809714,4809729,4809708,4809691,4809747,4809740,4809697,4809739,4809746,4809700,4809713,4809689,4809685,4809683,4809733,4809684,4809705,4809755,4809751,4809730,4809734,4809720,4809731,4809745,4809696,4809728,4809704,4809710,4809742,4809716,4809736",True
Whole-genome sequencing identifies a novel ABCB7 gene mutation for X-linked congenital cerebellar ataxia in a large family of Mongolian ancestry,266605,PRJNA266605,SRP049620,26242992,PMC4929865,1,1091633,True
"Biomolecular insights into North African-related ancestry, mobility and diet in eleventh-century Al-Andalus",759531,PRJEB47085,,34518562,PMC8438022,4,"16960287,16960286,16482604,16960285",True
Ancient nuclear genomes enable repatriation of Indigenous human remains,512774,PRJEB29663,,30585290,PMC6300400,10,"7135260,7135262,7135263,7135259,7135267,7135261,7135266,7135268,7135264,7135265",True
Ancient Human Mitogenome of the Beagle Channel (Tierra del Fuego): An Argentine Collaborative Project,973361,PRJEB58193,,,,1,29320475,True
The mitochondrial genomes of two Pre-historic Hunter Gatherers in Sri Lanka,889366,PRJNA889366,,36450887,,2,"24776979,24776980",True
"Initial Upper Palaeolithic Homo sapiens from Bacho Kiro Cave, Bulgaria",603717,PRJEB35466,,32433609,,40,"9972872,9972884,9972850,9972865,9972858,9972882,9972847,9972874,9972870,9972878,9972869,9972861,9972880,9972856,9972883,9972849,9972862,9972879,9972863,9972854,9972867,9972855,9972860,9972846,9972853,9972866,9972848,9972871,9972876,9972885,9972859,9972877,9972875,9972873,9972852,9972881,9972857,9972851,9972864,9972868",True
A hybrid pipeline for reconstruction and analysis of viral genomes at multi-organ level,644600,PRJNA644600,,32815536,PMC7439602,10,"11305952,11305950,11305948,11305946,11305949,11305951,11305945,11305947,11305944,11305953",True
"The First complete Zoroastrian-Parsi Mitochondria Reference Genome: Implications of mitochondrial signatures in an endogamous, non-smoking population",636291,PRJNA636291,SRR11888826-SRR11888922,,,97,"10972073,10972074,10972107,10972100,10972121,10972085,10972136,10972096,10972132,10972099,10972108,10972142,10972082,10972156,10972111,10972144,10972138,10972084,10972146,10972123,10972062,10972126,10972147,10972098,10972112,10972090,10972139,10972105,10972106,10972065,10972091,10972097,10972110,10972118,10972086,10972134,10972078,10972102,10972060,10972063,10972075,10972145,10972068,10972152,10972079,10972154,10972149,10972119,10972093,10972137,10972083,10972067,10972109,10972125,10972141,10972133,10972120,10972103,10972148,10972066,10972101,10972155,10972140,10972094,10972115,10972081,10972130,10972113,10972129,10972114,10972080,10972143,10972095,10972122,10972061,10972128,10972151,10972104,10972116,10972131,10972089,10972072,10972092,10972127,10972087,10972117,10972076,10972153,10972077,10972150,10972071,10972064,10972070,10972135,10972124,10972088,10972069",True
Direct radiocarbon dating and DNA analysis of the Darra-i-Kur (Afghanistan) human temporal bone,335708,PRJNA335708,,28526291,,14,"2854044,2854043,2854053,2854055,2854049,2854047,2854045,2854046,2854048,2854050,2854054,2854052,2854042,2854051",True
Genetic Ancestry of Rapanui before and after European Contact,414735,PRJEB22217,,29033334,,5,"4621388,4621390,4621389,4621387,4621391",True
"A European Mitochondrial Haplotype Identified in Ancient Phoenician Remains from Carthage, North Africa",295854,PRJNA295854,,27224451,PMC4880306,1,1790779,True
